Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.03083540010266006,,0.008740799967199564,0.03083540010266006,0.03083540010266006,1.4818929000757635,1.5740740740740742,1.4517330001108348,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
marble,,,,0,1,1,3,,,,,1.4959768999833614,,1.4822275000624359,1.4959768999833614,1.4959768999833614,2.231704199919477,2.6555555555555554,0.7276353999041021,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
Cruise,,,,0,2,2,11,,,,,2.2459221999160945,,2.23189610010013,2.2459221999160945,2.2459221999160945,2.8816684000194073,3.5407407407407407,0.6297241998836398,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
Pastry,,,,0,3,3,9,,,,,2.896334100048989,,2.881840700050816,2.896334100048989,2.896334100048989,3.6643366999924183,4.448148148148148,0.7613969000522047,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
phone,,,,0,4,4,2,,,,,3.678940000012517,,3.6645327999722213,3.678940000012517,3.678940000012517,4.2978459999430925,4.062962962962963,0.6127923000603914,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
Police,,,,0,5,5,12,,,,,4.312149900011718,,4.298099100124091,4.312149900011718,4.312149900011718,4.947501600021496,2.8777777777777778,0.6289049000479281,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
board,,,,0,6,6,4,,,,,4.962094200076535,,4.947676900075749,4.962094200076535,4.962094200076535,5.61417660000734,1.5592592592592593,0.6461489999201149,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
cushion,,,,0,7,7,1,,,,,5.628749300027266,,5.614351500058547,5.628749300027266,5.628749300027266,6.297417199937627,2.4555555555555557,0.6629706998355687,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
Keys,,,,0,8,8,13,,,,,6.311856199987233,,6.29759049997665,6.311856199987233,6.311856199987233,6.897896399954334,3.4703703703703703,0.5791235999204218,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
T-shirt,,,,0,9,9,7,,,,,6.91158049996011,,6.8981051000300795,6.91158049996011,6.91158049996011,7.514121500076726,4.485185185185185,0.5940584000200033,,,,,,,,,,,,,,,,278607,001,2024-11-07_14h53.59.211,Word Priming,2024.1.5,None,2024-11-07 14h54.04.859929 +0530,
