Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
marble,,,,0,0,0,3,,,,,0.06992710009217262,,0.02961149998009205,0.06992710009217262,0.06992710009217262,2.294751700013876,1.6888888888888889,2.237950599985197,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Poster,,,,0,1,1,14,,,,,2.3139033999759704,,2.2960300999693573,2.3139033999759704,2.3139033999759704,2.9624826998915523,2.2037037037037037,0.644338599871844,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Police,,,,0,2,2,12,,,,,2.983919099904597,,2.9629967999644578,2.983919099904597,2.983919099904597,3.695482699899003,3.2888888888888888,0.7097400999628007,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
laptop,,,,0,3,3,5,,,,,3.715822600061074,,3.695746700046584,3.715822600061074,3.715822600061074,4.378030099906027,4.47037037037037,0.6595284000504762,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
book,,,,0,4,4,0,,,,,4.395795499905944,,4.378296999959275,4.395795499905944,4.395795499905944,5.12754140002653,3.7333333333333334,0.7301936000585556,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Cruise,,,,0,5,5,11,,,,,5.143064700067043,,5.127792000072077,5.143064700067043,5.143064700067043,5.845344899920747,2.5481481481481483,0.6985653999727219,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Chart,,,,0,6,6,6,,,,,5.865813700016588,,5.845698700053617,5.865813700016588,5.865813700016588,6.528179100016132,1.4777777777777779,0.6562667000107467,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
board,,,,0,7,7,4,,,,,6.554200799902901,,6.528752200072631,6.554200799902901,6.554200799902901,7.211467300076038,2.4444444444444446,0.6559556000865996,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Case,,,,0,8,8,10,,,,,7.230538900010288,,7.2118375999853015,7.230538900010288,7.230538900010288,7.828779299976304,3.088888888888889,0.5942047999706119,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
cushion,,,,0,9,9,1,,,,,7.853007599944249,,7.829080899944529,7.853007599944249,7.853007599944249,8.5445246999152,4.151851851851852,0.6889752000570297,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
T-shirt,,,,0,10,10,7,,,,,8.564972700085491,,8.54489460005425,8.564972700085491,8.564972700085491,9.256344600114971,3.640740740740741,0.691443599993363,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
phone,,,,0,11,11,2,,,,,9.273689300054684,,9.25665930006653,9.273689300054684,9.273689300054684,10.277924099937081,1.4592592592592593,0.9971266998909414,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Keys,,,,0,12,12,13,,,,,10.297381399897859,,10.278471400029957,10.297381399897859,10.297381399897859,10.69497420010157,1.4592592592592593,0.3902350999414921,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
mouse,,,,0,13,13,8,,,,,10.715275899972767,,10.695242499932647,10.715275899972767,10.715275899972767,11.044639999978244,1.4592592592592593,0.32330240006558597,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
Pastry,,,,0,14,14,9,,,,,11.06884690001607,,11.044871099991724,11.06884690001607,11.06884690001607,11.478039300069213,1.4592592592592593,0.4037035000510514,,,,,,,,,,,,,,,,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,K_y_,Keys,old,,,,,0,0,0,8,11.525956799974665,,,,,,,,11.506330699892715,11.525956799974665,11.525956799974665,11.525956799974665,0.0329396000597626,15.724298299988732,keys,[-0.03611111111111111],[-0.2935185185185185],[1],[0],[0],[4.2122378998901695],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,_ou_se,mouse,old,,,,,0,1,1,3,15.739313300000504,,,,,,,,15.725558799924329,15.739313300000504,15.739313300000504,15.739313300000504,0.003260500030592084,31.420302300015464,mouse,"[-0.008333333333333333, 0.006481481481481481]","[-0.1527777777777778, -0.32037037037037036]","[1, 1]","[0, 0]","[0, 0]","[14.70785959996283, 15.691113600041717]",['submit_text'],25.753733200021088,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,_a_bl_,Marble,old,,,,,0,2,2,11,31.436106099979952,,,,,,,,31.420708199962974,31.436106099979952,31.436106099979952,31.436106099979952,0.0018509000074118376,38.985760499956086,marble,[-0.012037037037037037],[-0.30185185185185187],[1],[0],[0],[7.562758699990809],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,_ru_is_,Cruise,old,,,,,0,3,3,6,39.00116900005378,,,,,,,,38.98626910010353,39.00116900005378,39.00116900005378,39.00116900005378,0.002276799874380231,46.73395400005393,cruise,[0.0712962962962963],[-0.2759259259259259],[1],[0],[0],[7.744708900107071],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,p_nc_l,Pencil,new,,,,,0,4,4,16,46.749501700047404,,,,,,,,46.73494839994237,46.749501700047404,46.749501700047404,46.749501700047404,0.003733299905434251,53.699170199921355,pencil,[0.011111111111111112],[-0.2722222222222222],[1],[0],[0],[6.9602051000110805],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,c_m_ra,Camera,new,,,,,0,5,5,19,53.71455810009502,,,,,,,,53.699709800072014,53.71455810009502,53.71455810009502,53.71455810009502,0.0022092999424785376,57.18129130010493,camera,[-0.010185185185185186],[-0.2898148148148148],[1],[0],[0],[3.4789618998765945],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,_o_rd,Board,old,,,,,0,6,6,10,57.19727710005827,,,,,,,,57.18175090011209,57.19727710005827,57.19727710005827,57.19727710005827,0.0018196001183241606,62.980695999925956,board,[0.005555555555555556],[-0.2861111111111111],[1],[0],[0],[5.796629500109702],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,c_s_,Case,old,,,,,0,7,7,5,62.99620359996334,,,,,,,,62.98130350001156,62.99620359996334,62.99620359996334,62.99620359996334,0.002395099960267544,70.46247450006194,case,[0.014814814814814815],[-0.3],[1],[0],[0],[7.478274099994451],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
,v_s_,Vase,new,,,,,0,8,8,17,70.47806470002979,,,,,,,,70.46315960003994,70.47806470002979,70.47806470002979,70.47806470002979,0.004098499892279506,75.06117650005035,vase,[0.023148148148148147],[-0.30648148148148147],[1],[0],[0],[4.593388000037521],['submit_text'],,530579,001,2024-11-07_14h41.23.667,Word Priming,2024.1.5,None,2024-11-07 14h41.32.541700 +0530,
