Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.03991920012049377,,0.013041200116276741,0.03991920012049377,0.03991920012049377,1.5270728999748826,1.5518518518518518,1.4919280000030994,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Police,,,,0,1,1,12,,,,,1.5438337998930365,,1.5298031000420451,1.5438337998930365,1.5438337998930365,2.2938230999279767,2.6444444444444444,0.7423696999903768,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
marble,,,,0,2,2,3,,,,,2.3090540999546647,,2.2940523999277502,2.3090540999546647,2.3090540999546647,2.9610816999338567,3.162962962962963,0.6447197999805212,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Keys,,,,0,3,3,13,,,,,2.9782163000199944,,2.961323200026527,2.9782163000199944,2.9782163000199944,3.877611600095406,4.5814814814814815,0.8934649999719113,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Cruise,,,,0,4,4,11,,,,,3.8956055000890046,,3.877901599975303,3.8956055000890046,3.8956055000890046,4.594518099911511,3.9407407407407407,0.6939665998797864,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
T-shirt,,,,0,5,5,7,,,,,4.615234999917448,,4.5948441999498755,4.615234999917448,4.615234999917448,5.276605699909851,2.4444444444444446,0.657211999874562,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
board,,,,0,6,6,4,,,,,5.292560100089759,,5.276847700122744,5.292560100089759,5.292560100089759,6.0428615000564605,1.7444444444444445,0.7435186000075191,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Case,,,,0,7,7,10,,,,,6.057039699982852,,6.043063200078905,6.057039699982852,6.057039699982852,6.775890599936247,2.3444444444444446,0.713178199948743,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
phone,,,,0,8,8,2,,,,,6.790237500099465,,6.776081399992108,6.790237500099465,6.790237500099465,7.409156299894676,3.1925925925925926,0.6120692000258714,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
mouse,,,,0,9,9,8,,,,,7.4235427000094205,,7.40934869996272,7.4235427000094205,7.4235427000094205,8.159025900065899,4.014814814814815,0.7300748000852764,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Pastry,,,,0,10,10,9,,,,,8.173254299908876,,8.159265799913555,8.173254299908876,8.173254299908876,8.825507499976084,3.677777777777778,0.6471140999346972,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
cushion,,,,0,11,11,1,,,,,8.839815800078213,,8.82572149997577,8.839815800078213,8.839815800078213,9.492118600057438,2.6555555555555554,0.6461213000584394,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Chart,,,,0,12,12,6,,,,,9.50626159994863,,9.492343100020662,9.50626159994863,9.50626159994863,10.158519899938256,1.5629629629629629,0.6465431000106037,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
laptop,,,,0,13,13,5,,,,,10.173118100035936,,10.158713799901307,10.173118100035936,10.173118100035936,10.809583300026134,2.2,0.6302374000661075,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
Poster,,,,0,14,14,14,,,,,10.823509200010449,,10.80986119993031,10.823509200010449,10.823509200010449,11.441682500066236,2.888888888888889,0.6108834999613464,,,,,,,,,,,,,,,,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,v_s_,Vase,new,,,,,0,0,0,17,11.458720900118351,,,,,,,,11.447680999990553,11.458720900118351,11.458720900118351,11.458720900118351,0.009745800169184804,14.673003300093114,vase,[0.03888888888888889],[-0.27870370370370373],[1],[0],[0],[3.2209210998844355],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,_a_bl_,Marble,old,,,,,0,1,1,11,14.68867089995183,,,,,,,,14.673603700008243,14.68867089995183,14.68867089995183,14.68867089995183,0.0017695999704301357,19.154943600064144,marble,[-0.001851851851851852],[-0.3101851851851852],[1],[0],[0],[4.479261199943721],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,c_m_ra,Camera,new,,,,,0,2,2,19,19.170982799958438,,,,,,,,19.155351900029927,19.170982799958438,19.170982799958438,19.170982799958438,0.0018537999130785465,22.28808799991384,camera,[-0.000925925925925926],[-0.2916666666666667],[1],[0],[0],[3.130481099942699],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,K_y_,Keys,old,,,,,0,3,3,8,22.303968399995938,,,,,,,,22.288549300050363,22.303968399995938,22.303968399995938,22.303968399995938,0.0020747000817209482,26.620322899892926,keys,[0.02962962962962963],[-0.30462962962962964],[1],[0],[0],[4.32938569993712],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,c_s_io_,Cushion,old,,,,,0,4,4,14,26.63633510004729,,,,,,,,26.62070049997419,26.63633510004729,26.63633510004729,26.63633510004729,0.002212400082498789,31.220431900117546,cushion,[0.022222222222222223],[-0.2916666666666667],[1],[0],[0],[4.596739399945363],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,_ho_e,Phone,old,,,,,0,5,5,12,31.235276200110093,,,,,,,,31.221231000032276,31.235276200110093,31.235276200110093,31.235276200110093,0.0032707001082599163,45.29978940007277,phone,[-0.000925925925925926],[-0.29074074074074074],[1],[0],[0],[14.07496549980715],['submit_text'],41.2497286000289,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,P_s_r_,Pastry,old,,,,,0,6,6,4,45.31556229991838,,,,,,,,45.3001373000443,45.31556229991838,45.31556229991838,45.31556229991838,0.0018985001370310783,51.84830110007897,pastry,[-0.007407407407407408],[-0.30648148148148147],[1],[0],[0],[6.545783300185576],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,p_nc_l,Pencil,new,,,,,0,7,7,16,51.86424080003053,,,,,,,,51.84869750007056,51.86424080003053,51.86424080003053,51.86424080003053,0.002381799975410104,57.54771640012041,pencil,[-0.012037037037037037],[-0.30648148148148147],[1],[0],[0],[5.695987300015986],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
,_ou_se,mouse,old,,,,,0,8,8,3,57.562920399941504,,,,,,,,57.54823080007918,57.562920399941504,57.562920399941504,57.562920399941504,0.002520899986848235,62.37970679998398,mouse,[-0.013888888888888888],[-0.30648148148148147],[1],[0],[0],[4.828566599870101],['submit_text'],,569892,001,2024-11-07_14h45.14.704,Word Priming,2024.1.5,None,2024-11-07 14h45.20.576522 +0530,
